Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,16,Sat,2024-07-27,17:30,Göteborg,3–4,Brommapojkarna,16268,Nya Gamla Ullevi,Granit Maqedonci,Match Report,
Allsvenskan,16,Sat,2024-07-27,20:00,Halmstad,1–0,Värnamo,7377,Örjans Vall,,Match Report,
Allsvenskan,16,Sun,2024-07-28,16:30,BK Häcken,4–0,Västerås,4190,Bravida Arena,,Match Report,
Allsvenskan,16,Sun,2024-07-28,16:30,Hammarby,3–0,Mjällby,22593,Tele2 Arena,,Match Report,
Allsvenskan,16,Sun,2024-07-28,17:30,Elfsborg,1–2,Djurgården,10157,Borås Arena,,Match Report,
Allsvenskan,16,Mon,2024-07-29,19:00,AIK Stockholm,0–1,GAIS,24069,Strawberry Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,17,Sat,2024-08-03,15:00,GAIS,0–1,Norrköping,7368,Nya Gamla Ullevi,Fredrik Klitte,Match Report,
Allsvenskan,17,Sat,2024-08-03,15:00,Västerås,1–2,AIK Stockholm,8679,Hitachi Energy Arena,Mohammed Al Hakim,Match Report,
Allsvenskan,17,Sat,2024-08-03,17:30,Brommapojkarna,4–1,Halmstad,746,Grimsta IP,Victor Wolf,Match Report,
Allsvenskan,17,Sun,2024-08-04,14:00,Värnamo,2–4,Sirius,1360,Finnvedsvallen,Richard Sundell,Match Report,
Allsvenskan,17,Sun,2024-08-04,14:00,Djurgården,1–1,Göteborg,23418,Tele2 Arena,Kristoffer Karlsson,Match Report,
Allsvenskan,17,Sun,2024-08-04,16:30,Kalmar,1–4,Hammarby,9360,Guldfågeln Arena,Granit Maqedonci,Match Report,
,,,,,,,,,,,,
Allsvenskan,18,Sat,2024-08-10,15:00,Norrköping,2–1,Västerås,6624,PlatinumCars Arena,Granit Maqedonci,Match Report,
Allsvenskan,18,Sat,2024-08-10,15:00,Halmstad,0–1,Malmö,8654,Örjans Vall,Richard Sundell,Match Report,
Allsvenskan,18,Sat,2024-08-10,17:30,Göteborg,0–0,Värnamo,15761,Nya Gamla Ullevi,Adam Ladebäck,Match Report,
Allsvenskan,18,Sun,2024-08-11,16:00,AIK Stockholm,1–0,Mjällby,20250,Strawberry Arena,,Match Report,
Allsvenskan,18,Sun,2024-08-11,16:00,Elfsborg,2–1,GAIS,11437,Borås Arena,,Match Report,
Allsvenskan,18,Sun,2024-08-11,16:00,Sirius,3–1,Kalmar,6292,Studenternas IP,,Match Report,
Allsvenskan,18,Mon,2024-08-12,19:00,Hammarby,3–3,Brommapojkarna,22868,Tele2 Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,19,Sat,2024-08-17,15:00,Malmö,2–1,Norrköping,19758,Eleda Stadion,Adi Aganovic,Match Report,
Allsvenskan,19,Sat,2024-08-17,15:00,Värnamo,0–3,Hammarby,3241,Finnvedsvallen,Joakim Östling,Match Report,
Allsvenskan,19,Sat,2024-08-17,15:00,Göteborg,1–1,Sirius,15761,Nya Gamla Ullevi,Fredrik Klitte,Match Report,
Allsvenskan,19,Sat,2024-08-17,17:30,Västerås,2–1,Kalmar,5351,Hitachi Energy Arena,Oscar Johnson,Match Report,
Allsvenskan,19,Sun,2024-08-18,14:00,Djurgården,0–2,AIK Stockholm,26225,Tele2 Arena,,Match Report,
Allsvenskan,19,Sun,2024-08-18,14:00,Mjällby,1–1,Elfsborg,3720,Strandvallen A-Plan,,Match Report,
Allsvenskan,19,Sun,2024-08-18,14:00,Brommapojkarna,1–3,BK Häcken,2339,Grimsta IP,,Match Report,
Allsvenskan,19,Sun,2024-08-18,16:30,GAIS,3–1,Halmstad,6564,Nya Gamla Ullevi,Adam Ladebäck,Match Report,
,,,,,,,,,,,,
Allsvenskan,20,Sat,2024-08-24,15:00,Kalmar,2–2,Malmö,7313,Guldfågeln Arena,,Match Report,
Allsvenskan,20,Sun,2024-08-25,14:00,Elfsborg,3–1,Göteborg,13533,Borås Arena,,Match Report,
Allsvenskan,20,Sun,2024-08-25,14:00,Sirius,0–1,Djurgården,9829,Studenternas IP,,Match Report,
Allsvenskan,20,Sun,2024-08-25,16:30,BK Häcken,1–1,Värnamo,4293,Bravida Arena,,Match Report,
Allsvenskan,20,Sun,2024-08-25,16:30,AIK Stockholm,2–1,Brommapojkarna,23051,Strawberry Arena,,Match Report,
Allsvenskan,20,Mon,2024-08-26,19:00,Halmstad,0–1,Västerås,4688,Örjans Vall,,Match Report,
Allsvenskan,20,Mon,2024-08-26,19:00,Norrköping,1–2,Mjällby,8108,PlatinumCars Arena,,Match Report,
Allsvenskan,20,Mon,2024-08-26,19:00,Hammarby,0–0,GAIS,25076,Tele2 Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,21,Sat,2024-08-31,15:00,Värnamo,0–1,AIK Stockholm,3358,Finnvedsvallen,Granit Maqedonci,Match Report,
Allsvenskan,21,Sat,2024-08-31,15:00,GAIS,1–1,Kalmar,6199,Nya Gamla Ullevi,Richard Sundell,Match Report,
Allsvenskan,21,Sat,2024-08-31,17:30,Västerås,1–2,Sirius,6877,Hitachi Energy Arena,Glenn Nyberg,Match Report,
Allsvenskan,21,Sat,2024-08-31,17:30,Mjällby,3–1,Halmstad,3253,Strandvallen A-Plan,Kristoffer Karlsson,Match Report,
Allsvenskan,21,Sun,2024-09-01,14:00,Brommapojkarna,3–3,Elfsborg,1349,Grimsta IP,Adi Aganovic,Match Report,
Allsvenskan,21,Sun,2024-09-01,14:00,Malmö,4–0,Djurgården,20342,Eleda Stadion,Fredrik Klitte,Match Report,
Allsvenskan,21,Sun,2024-09-01,16:30,Göteborg,0–1,Hammarby,17151,Nya Gamla Ullevi,Oscar Johnson,Match Report,
Allsvenskan,21,Sun,2024-09-01,16:30,Norrköping,3–3,BK Häcken,5048,PlatinumCars Arena,Victor Wolf,Match Report,
,,,,,,,,,,,,
Allsvenskan,22,Sat,2024-09-14,15:00,Västerås,2–3,GAIS,5871,Hitachi Energy Arena,Adi Aganovic,Match Report,
