Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,21,Sun,2024-09-01,17:00,HamKam,1–1,Sandefjord,4316,Briskeby Arena,Marius Lien,Match Report,
Eliteserien,21,Sun,2024-09-01,19:15,Brann,1–3,Sarpsborg 08,14307,Brann Stadion,Sigurd Smehus Kringstad,Match Report,
,,,,,,,,,,,,
Eliteserien,22,Fri,2024-09-13,19:00,Bodø/Glimt,3–0,HamKam,5879,Aspmyra Stadion,Svein Sinnes,Match Report,
Eliteserien,22,Sat,2024-09-14,16:00,Viking,1–0,KFUM Oslo,10099,SR-Bank Arena,Mohammad Aslam,Match Report,
Eliteserien,22,Sat,2024-09-14,18:00,Molde,6–1,Fredrikstad,6372,Aker Stadion,Sivert Øksnes Amland,Match Report,
Eliteserien,22,Sun,2024-09-15,14:30,Odd,1–0,Tromsø,4078,Skagerak Arena,Mathias Støfringshaug,Match Report,
Eliteserien,22,Sun,2024-09-15,17:00,Sarpsborg 08,0–2,Kristiansund,5383,Sarpsborg Stadion,Ola Nilsen,Match Report,
Eliteserien,22,Sun,2024-09-15,17:00,Sandefjord,2–2,Brann,4144,Jotun Arena,Christian Moen,Match Report,
Eliteserien,22,Sun,2024-09-15,17:00,Haugesund,0–0,Strømsgodset,3761,Haugesund Stadion,Kristoffer Hagenes,Match Report,
Eliteserien,22,Sun,2024-09-15,19:15,Lillestrøm,1–1,Rosenborg,9731,Åråsen Stadion,Sigurd Smehus Kringstad,Match Report,
,,,,,,,,,,,,
Eliteserien,19,Wed,2024-09-18,18:00,Kristiansund,0–4,Molde,4030,Nordmøre Stadion,Daniel Higraff,Match Report,
,,,,,,,,,,,,
Eliteserien,20,Wed,2024-09-18,19:00,Brann,2–0,KFUM Oslo,14230,Brann Stadion,Svein Sinnes,Match Report,
,,,,,,,,,,,,
Eliteserien,23,Sat,2024-09-21,16:00,Strømsgodset,2–1,Sarpsborg 08,5039,Marienlyst Stadion,Marius Grøtta,Match Report,
Eliteserien,23,Sat,2024-09-21,18:00,HamKam,5–0,Lillestrøm,4719,Briskeby Arena,Mohammad Aslam,Match Report,
Eliteserien,23,Sun,2024-09-22,14:30,Brann,4–1,Bodø/Glimt,16551,Brann Stadion,Tore Hansen,Match Report,
Eliteserien,23,Sun,2024-09-22,17:00,Kristiansund,0–0,Odd,3182,Nordmøre Stadion,Kristoffer Hagenes,Match Report,
Eliteserien,23,Sun,2024-09-22,17:00,Tromsø,3–0,Sandefjord,3735,Romssa Arena,Daniel Higraff,Match Report,
Eliteserien,23,Sun,2024-09-22,17:00,Rosenborg,4–0,Haugesund,12328,Lerkendal Stadion,Sivert Øksnes Amland,Match Report,
Eliteserien,23,Sun,2024-09-22,19:15,Fredrikstad,3–2,Viking,6171,Nye Fredrikstad Stadion,Ola Nilsen,Match Report,
Eliteserien,23,Mon,2024-09-23,19:00,KFUM Oslo,1–1,Molde,2827,KFUM Arena,Marius Lien,Match Report,
,,,,,,,,,,,,
Eliteserien,24,Sat,2024-09-28,14:00,Molde,5–3,Tromsø,6090,Aker Stadion,Sigurd Smehus Kringstad,Match Report,
Eliteserien,24,Sat,2024-09-28,18:00,Haugesund,0–1,Brann,7620,Haugesund Stadion,Marius Grøtta,Match Report,
Eliteserien,24,Sat,2024-09-28,20:00,Sarpsborg 08,0–1,Fredrikstad,8022,Sarpsborg Stadion,Rohit Saggi,Match Report,
Eliteserien,24,Sun,2024-09-29,14:30,Strømsgodset,1–1,HamKam,4507,Marienlyst Stadion,Espen Eskås,Match Report,
Eliteserien,24,Sun,2024-09-29,17:00,Odd,1–3,KFUM Oslo,4743,Skagerak Arena,Christian Moen,Match Report,
Eliteserien,24,Sun,2024-09-29,17:00,Bodø/Glimt,4–0,Kristiansund,5415,Aspmyra Stadion,Sivert Øksnes Amland,Match Report,
Eliteserien,24,Sun,2024-09-29,17:00,Lillestrøm,1–4,Viking,6478,Åråsen Stadion,Svein Sinnes,Match Report,
Eliteserien,24,Sun,2024-09-29,19:15,Sandefjord,0–1,Rosenborg,4701,Jotun Arena,Kristoffer Hagenes,Match Report,
,,,,,,,,,,,,
Eliteserien,15,Sat,2024-10-05,15:00,Kristiansund,2–1,Sandefjord,3840,Nordmøre Stadion,Rohit Saggi,Match Report,
,,,,,,,,,,,,
Eliteserien,25,Sat,2024-10-19,16:00,Molde,0–1,Sandefjord,6293,Aker Stadion,Mohammad Aslam,Match Report,
Eliteserien,25,Sat,2024-10-19,18:00,Tromsø,0–0,Bodø/Glimt,6991,Romssa Arena,Rohit Saggi,Match Report,
Eliteserien,25,Sun,2024-10-20,14:30,Rosenborg,1–2,Brann,21426,Lerkendal Stadion,Ola Nilsen,Match Report,
