Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,2026-12-26,,Genk,,Lommel,,Cegeka Arena,,Head-to-Head,
16,Sat,2026-12-26,,Standard Liège,,Union SG,,Stade Maurice Dufrasne,,Head-to-Head,
16,Sat,2026-12-26,,Gent,,Antwerp,,Planet Group Arena,,Head-to-Head,
16,Sat,2026-12-26,,Club Brugge,,Charleroi,,Jan Breydelstadion,,Head-to-Head,
,,,,,,,,,,,
17,Sat,2027-01-16,,Antwerp,,Mechelen,,Bosuilstadion,,Head-to-Head,
17,Sat,2027-01-16,,Westerlo,,Kortrijk,,Het Kuipje,,Head-to-Head,
17,Sat,2027-01-16,,Union SG,,La Louvière,,Stade Joseph Mariën,,Head-to-Head,
17,Sat,2027-01-16,,Zulte Waregem,,OH Leuven,,Elindus Arena,,Head-to-Head,
17,Sat,2027-01-16,,Beveren,,Club Brugge,,,,Head-to-Head,
17,Sat,2027-01-16,,Lommel,,Anderlecht,,Soevereinstadion,,Head-to-Head,
17,Sat,2027-01-16,,Sint-Truiden,,Standard Liège,,Daio Wasabi Stayen Stadium,,Head-to-Head,
17,Sat,2027-01-16,,Charleroi,,Gent,,Stade du Pays de Charleroi,,Head-to-Head,
17,Sat,2027-01-16,,Cercle Brugge,,Genk,,Jan Breydelstadion,,Head-to-Head,
,,,,,,,,,,,
18,Sat,2027-01-23,,Kortrijk,,Anderlecht,,,,Head-to-Head,
18,Sat,2027-01-23,,Standard Liège,,Westerlo,,Stade Maurice Dufrasne,,Head-to-Head,
18,Sat,2027-01-23,,Club Brugge,,La Louvière,,Jan Breydelstadion,,Head-to-Head,
18,Sat,2027-01-23,,Charleroi,,Antwerp,,Stade du Pays de Charleroi,,Head-to-Head,
18,Sat,2027-01-23,,Gent,,Cercle Brugge,,Planet Group Arena,,Head-to-Head,
18,Sat,2027-01-23,,Mechelen,,Lommel,,AFAS Stadion,,Head-to-Head,
18,Sat,2027-01-23,,OH Leuven,,Sint-Truiden,,King Power at Den Dreef Stadion,,Head-to-Head,
18,Sat,2027-01-23,,Union SG,,Beveren,,Stade Joseph Mariën,,Head-to-Head,
18,Sat,2027-01-23,,Genk,,Zulte Waregem,,Cegeka Arena,,Head-to-Head,
,,,,,,,,,,,
19,Sat,2027-01-30,,Sint-Truiden,,Mechelen,,Daio Wasabi Stayen Stadium,,Head-to-Head,
19,Sat,2027-01-30,,Anderlecht,,Gent,,Lotto Park,,Head-to-Head,
19,Sat,2027-01-30,,Zulte Waregem,,Union SG,,Elindus Arena,,Head-to-Head,
19,Sat,2027-01-30,,La Louvière,,Charleroi,,Easi Arena,,Head-to-Head,
19,Sat,2027-01-30,,Cercle Brugge,,Standard Liège,,Jan Breydelstadion,,Head-to-Head,
19,Sat,2027-01-30,,Beveren,,Kortrijk,,,,Head-to-Head,
19,Sat,2027-01-30,,Lommel,,OH Leuven,,Soevereinstadion,,Head-to-Head,
19,Sat,2027-01-30,,Antwerp,,Club Brugge,,Bosuilstadion,,Head-to-Head,
19,Sat,2027-01-30,,Westerlo,,Genk,,Het Kuipje,,Head-to-Head,
,,,,,,,,,,,
20,Sat,2027-02-06,,Union SG,,Sint-Truiden,,Stade Joseph Mariën,,Head-to-Head,
20,Sat,2027-02-06,,Gent,,Beveren,,Planet Group Arena,,Head-to-Head,
20,Sat,2027-02-06,,Genk,,Antwerp,,Cegeka Arena,,Head-to-Head,
20,Sat,2027-02-06,,Charleroi,,Westerlo,,Stade du Pays de Charleroi,,Head-to-Head,
20,Sat,2027-02-06,,Kortrijk,,La Louvière,,,,Head-to-Head,
20,Sat,2027-02-06,,OH Leuven,,Anderlecht,,King Power at Den Dreef Stadion,,Head-to-Head,
20,Sat,2027-02-06,,Zulte Waregem,,Lommel,,Elindus Arena,,Head-to-Head,
20,Sat,2027-02-06,,Club Brugge,,Standard Liège,,Jan Breydelstadion,,Head-to-Head,
20,Sat,2027-02-06,,Mechelen,,Cercle Brugge,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
21,Sat,2027-02-13,,Sint-Truiden,,Gent,,Daio Wasabi Stayen Stadium,,Head-to-Head,
21,Sat,2027-02-13,,Anderlecht,,Mechelen,,Lotto Park,,Head-to-Head,
21,Sat,2027-02-13,,Beveren,,Genk,,,,Head-to-Head,
21,Sat,2027-02-13,,Westerlo,,Club Brugge,,Het Kuipje,,Head-to-Head,
21,Sat,2027-02-13,,Antwerp,,Kortrijk,,Bosuilstadion,,Head-to-Head,
21,Sat,2027-02-13,,Standard Liège,,Zulte Waregem,,Stade Maurice Dufrasne,,Head-to-Head,
21,Sat,2027-02-13,,Cercle Brugge,,Charleroi,,Jan Breydelstadion,,Head-to-Head,
21,Sat,2027-02-13,,La Louvière,,OH Leuven,,Easi Arena,,Head-to-Head,
21,Sat,2027-02-13,,Lommel,,Union SG,,Soevereinstadion,,Head-to-Head,
,,,,,,,,,,,
22,Sat,2027-02-20,,Kortrijk,,Genk,,,,Head-to-Head,
22,Sat,2027-02-20,,Union SG,,Westerlo,,Stade Joseph Mariën,,Head-to-Head,
22,Sat,2027-02-20,,Gent,,La Louvière,,Planet Group Arena,,Head-to-Head,
22,Sat,2027-02-20,,OH Leuven,,Antwerp,,King Power at Den Dreef Stadion,,Head-to-Head,
22,Sat,2027-02-20,,Club Brugge,,Lommel,,Jan Breydelstadion,,Head-to-Head,
22,Sat,2027-02-20,,Charleroi,,Standard Liège,,Stade du Pays de Charleroi,,Head-to-Head,
22,Sat,2027-02-20,,Sint-Truiden,,Cercle Brugge,,Daio Wasabi Stayen Stadium,,Head-to-Head,
22,Sat,2027-02-20,,Zulte Waregem,,Anderlecht,,Elindus Arena,,Head-to-Head,
22,Sat,2027-02-20,,Mechelen,,Beveren,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
23,Sat,2027-02-27,,La Louvière,,Sint-Truiden,,Easi Arena,,Head-to-Head,
23,Sat,2027-02-27,,Lommel,,Kortrijk,,Soevereinstadion,,Head-to-Head,
23,Sat,2027-02-27,,Cercle Brugge,,OH Leuven,,Jan Breydelstadion,,Head-to-Head,
23,Sat,2027-02-27,,Beveren,,Charleroi,,,,Head-to-Head,
23,Sat,2027-02-27,,Anderlecht,,Club Brugge,,Lotto Park,,Head-to-Head,
23,Sat,2027-02-27,,Antwerp,,Zulte Waregem,,Bosuilstadion,,Head-to-Head,
