Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,2027-02-13,,Feyenoord,,NEC Nijmegen,,Stadion Feijenoord,,Head-to-Head,
22,Sat,2027-02-13,,Groningen,,AZ Alkmaar,,Euroborg,,Head-to-Head,
22,Sat,2027-02-13,,Telstar,,Heerenveen,,BUKO Stadion,,Head-to-Head,
22,Sat,2027-02-13,,Cambuur,,Utrecht,,Kooi Stadion,,Head-to-Head,
22,Sat,2027-02-13,,Fortuna Sittard,,ADO Den Haag,,Fortuna Sittard Stadion,,Head-to-Head,
22,Sat,2027-02-13,,Willem II,,Sparta R.,,Koning Willem II Stadion,,Head-to-Head,
,,,,,,,,,,,
23,Sat,2027-02-20,,Twente,,Excelsior,,De Grolsch Veste,,Head-to-Head,
23,Sat,2027-02-20,,PSV,,Cambuur,,Philips Stadion,,Head-to-Head,
23,Sat,2027-02-20,,Feyenoord,,Telstar,,Stadion Feijenoord,,Head-to-Head,
23,Sat,2027-02-20,,Zwolle,,Groningen,,MAC³PARK Stadion,,Head-to-Head,
23,Sat,2027-02-20,,Utrecht,,ADO Den Haag,,Stadion Galgenwaard,,Head-to-Head,
23,Sat,2027-02-20,,AZ Alkmaar,,Fortuna Sittard,,AFAS Stadion,,Head-to-Head,
23,Sat,2027-02-20,,Heerenveen,,Willem II,,Abe Lenstra Stadion,,Head-to-Head,
23,Sat,2027-02-20,,Ajax,,Go Ahead Eagles,,Johan Cruijff Arena,,Head-to-Head,
23,Sat,2027-02-20,,NEC Nijmegen,,Sparta R.,,Goffertstadion,,Head-to-Head,
,,,,,,,,,,,
24,Sat,2027-02-27,,Excelsior,,Heerenveen,,Van Donge & De Roo Stadion,,Head-to-Head,
24,Sat,2027-02-27,,Willem II,,Groningen,,Koning Willem II Stadion,,Head-to-Head,
24,Sat,2027-02-27,,Telstar,,Go Ahead Eagles,,BUKO Stadion,,Head-to-Head,
24,Sat,2027-02-27,,Ajax,,Feyenoord,,Johan Cruijff Arena,,Head-to-Head,
24,Sat,2027-02-27,,Cambuur,,Zwolle,,Kooi Stadion,,Head-to-Head,
24,Sat,2027-02-27,,ADO Den Haag,,Twente,,Bingoal Stadion,,Head-to-Head,
24,Sat,2027-02-27,,Sparta R.,,PSV,,Sparta-Stadion Het Kasteel,,Head-to-Head,
24,Sat,2027-02-27,,Fortuna Sittard,,Utrecht,,Fortuna Sittard Stadion,,Head-to-Head,
24,Sat,2027-02-27,,NEC Nijmegen,,AZ Alkmaar,,Goffertstadion,,Head-to-Head,
,,,,,,,,,,,
25,Sat,2027-03-06,,Go Ahead Eagles,,Excelsior,,De Adelaarshorst,,Head-to-Head,
25,Sat,2027-03-06,,PSV,,Utrecht,,Philips Stadion,,Head-to-Head,
25,Sat,2027-03-06,,Feyenoord,,Heerenveen,,Stadion Feijenoord,,Head-to-Head,
25,Sat,2027-03-06,,Zwolle,,Willem II,,MAC³PARK Stadion,,Head-to-Head,
25,Sat,2027-03-06,,Twente,,AZ Alkmaar,,De Grolsch Veste,,Head-to-Head,
25,Sat,2027-03-06,,Groningen,,Telstar,,Euroborg,,Head-to-Head,
25,Sat,2027-03-06,,Sparta R.,,Cambuur,,Sparta-Stadion Het Kasteel,,Head-to-Head,
25,Sat,2027-03-06,,ADO Den Haag,,Ajax,,Bingoal Stadion,,Head-to-Head,
25,Sat,2027-03-06,,Fortuna Sittard,,NEC Nijmegen,,Fortuna Sittard Stadion,,Head-to-Head,
,,,,,,,,,,,
26,Sat,2027-03-13,,AZ Alkmaar,,Sparta R.,,AFAS Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Willem II,,Twente,,Koning Willem II Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Cambuur,,ADO Den Haag,,Kooi Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Go Ahead Eagles,,Feyenoord,,De Adelaarshorst,,Head-to-Head,
26,Sat,2027-03-13,,Excelsior,,NEC Nijmegen,,Van Donge & De Roo Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Ajax,,Zwolle,,Johan Cruijff Arena,,Head-to-Head,
26,Sat,2027-03-13,,Telstar,,PSV,,BUKO Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Heerenveen,,Fortuna Sittard,,Abe Lenstra Stadion,,Head-to-Head,
26,Sat,2027-03-13,,Utrecht,,Groningen,,Stadion Galgenwaard,,Head-to-Head,
,,,,,,,,,,,
27,Sat,2027-03-20,,NEC Nijmegen,,Ajax,,Goffertstadion,,Head-to-Head,
27,Sat,2027-03-20,,Groningen,,PSV,,Euroborg,,Head-to-Head,
27,Sat,2027-03-20,,AZ Alkmaar,,Excelsior,,AFAS Stadion,,Head-to-Head,
27,Sat,2027-03-20,,ADO Den Haag,,Willem II,,Bingoal Stadion,,Head-to-Head,
27,Sat,2027-03-20,,Utrecht,,Sparta R.,,Stadion Galgenwaard,,Head-to-Head,
27,Sat,2027-03-20,,Telstar,,Fortuna Sittard,,BUKO Stadion,,Head-to-Head,
27,Sat,2027-03-20,,Twente,,Go Ahead Eagles,,De Grolsch Veste,,Head-to-Head,
27,Sat,2027-03-20,,Feyenoord,,Cambuur,,Stadion Feijenoord,,Head-to-Head,
27,Sat,2027-03-20,,Zwolle,,Heerenveen,,MAC³PARK Stadion,,Head-to-Head,
,,,,,,,,,,,
28,Sat,2027-04-03,,Excelsior,,Zwolle,,Van Donge & De Roo Stadion,,Head-to-Head,
28,Sat,2027-04-03,,Go Ahead Eagles,,NEC Nijmegen,,De Adelaarshorst,,Head-to-Head,
