Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2027-01-23,,Werder Bremen,,Freiburg,,Weserstadion,,Head-to-Head,
18,Sat,2027-01-23,,Frankfurt,,Union Berlin,,Deutsche Bank Park,,Head-to-Head,
,,,,,,,,,,,
19,Sat,2027-01-30,,Köln,,Stuttgart,,RheinEnergieSTADION,,Head-to-Head,
19,Sat,2027-01-30,,Bayern Munich,,Schalke 04,,Allianz Arena,,Head-to-Head,
19,Sat,2027-01-30,,Freiburg,,Paderborn 07,,Europa-Park Stadion,,Head-to-Head,
19,Sat,2027-01-30,,Union Berlin,,Leverkusen,,Stadion An der Alten Försterei,,Head-to-Head,
19,Sat,2027-01-30,,Elversberg,,Gladbach,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
19,Sat,2027-01-30,,Augsburg,,Frankfurt,,WWK Arena,,Head-to-Head,
19,Sat,2027-01-30,,Dortmund,,Hoffenheim,,Signal Iduna Park,,Head-to-Head,
19,Sat,2027-01-30,,RB Leipzig,,Werder Bremen,,Red Bull Arena,,Head-to-Head,
19,Sat,2027-01-30,,Mainz 05,,Hamburger SV,,Mewa Arena,,Head-to-Head,
,,,,,,,,,,,
20,Sat,2027-02-06,,Frankfurt,,Mainz 05,,Deutsche Bank Park,,Head-to-Head,
20,Sat,2027-02-06,,Stuttgart,,Hoffenheim,,MHPArena,,Head-to-Head,
20,Sat,2027-02-06,,Schalke 04,,Union Berlin,,Veltins-Arena,,Head-to-Head,
20,Sat,2027-02-06,,Gladbach,,Freiburg,,Stadion im Borussia-Park,,Head-to-Head,
20,Sat,2027-02-06,,Leverkusen,,Augsburg,,BayArena,,Head-to-Head,
20,Sat,2027-02-06,,Bayern Munich,,Elversberg,,Allianz Arena,,Head-to-Head,
20,Sat,2027-02-06,,Hamburger SV,,RB Leipzig,,Volksparkstadion,,Head-to-Head,
20,Sat,2027-02-06,,Paderborn 07,,Dortmund,,Home Deluxe Arena,,Head-to-Head,
20,Sat,2027-02-06,,Werder Bremen,,Köln,,Weserstadion,,Head-to-Head,
,,,,,,,,,,,
21,Sat,2027-02-13,,Dortmund,,Stuttgart,,Signal Iduna Park,,Head-to-Head,
21,Sat,2027-02-13,,Freiburg,,Frankfurt,,Europa-Park Stadion,,Head-to-Head,
21,Sat,2027-02-13,,Hoffenheim,,Paderborn 07,,PreZero Arena,,Head-to-Head,
21,Sat,2027-02-13,,Elversberg,,Schalke 04,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
21,Sat,2027-02-13,,Köln,,Hamburger SV,,RheinEnergieSTADION,,Head-to-Head,
21,Sat,2027-02-13,,RB Leipzig,,Leverkusen,,Red Bull Arena,,Head-to-Head,
21,Sat,2027-02-13,,Mainz 05,,Gladbach,,Mewa Arena,,Head-to-Head,
21,Sat,2027-02-13,,Augsburg,,Werder Bremen,,WWK Arena,,Head-to-Head,
21,Sat,2027-02-13,,Union Berlin,,Bayern Munich,,Stadion An der Alten Försterei,,Head-to-Head,
,,,,,,,,,,,
22,Sat,2027-02-20,,Hamburger SV,,Hoffenheim,,Volksparkstadion,,Head-to-Head,
22,Sat,2027-02-20,,Gladbach,,Köln,,Stadion im Borussia-Park,,Head-to-Head,
22,Sat,2027-02-20,,Elversberg,,Union Berlin,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
22,Sat,2027-02-20,,Frankfurt,,RB Leipzig,,Deutsche Bank Park,,Head-to-Head,
22,Sat,2027-02-20,,Stuttgart,,Paderborn 07,,MHPArena,,Head-to-Head,
22,Sat,2027-02-20,,Bayern Munich,,Augsburg,,Allianz Arena,,Head-to-Head,
22,Sat,2027-02-20,,Leverkusen,,Mainz 05,,BayArena,,Head-to-Head,
22,Sat,2027-02-20,,Werder Bremen,,Dortmund,,Weserstadion,,Head-to-Head,
22,Sat,2027-02-20,,Schalke 04,,Freiburg,,Veltins-Arena,,Head-to-Head,
,,,,,,,,,,,
23,Sat,2027-02-27,,Köln,,Frankfurt,,RheinEnergieSTADION,,Head-to-Head,
23,Sat,2027-02-27,,Augsburg,,Elversberg,,WWK Arena,,Head-to-Head,
23,Sat,2027-02-27,,Mainz 05,,Schalke 04,,Mewa Arena,,Head-to-Head,
23,Sat,2027-02-27,,Dortmund,,Union Berlin,,Signal Iduna Park,,Head-to-Head,
23,Sat,2027-02-27,,Hoffenheim,,Gladbach,,PreZero Arena,,Head-to-Head,
23,Sat,2027-02-27,,Freiburg,,Leverkusen,,Europa-Park Stadion,,Head-to-Head,
23,Sat,2027-02-27,,Stuttgart,,Hamburger SV,,MHPArena,,Head-to-Head,
23,Sat,2027-02-27,,Paderborn 07,,Werder Bremen,,Home Deluxe Arena,,Head-to-Head,
23,Sat,2027-02-27,,RB Leipzig,,Bayern Munich,,Red Bull Arena,,Head-to-Head,
,,,,,,,,,,,
24,Wed,2027-03-03,,Frankfurt,,Dortmund,,Deutsche Bank Park,,Head-to-Head,
24,Wed,2027-03-03,,Gladbach,,Stuttgart,,Stadion im Borussia-Park,,Head-to-Head,
24,Wed,2027-03-03,,Werder Bremen,,Mainz 05,,Weserstadion,,Head-to-Head,
24,Wed,2027-03-03,,Schalke 04,,Köln,,Veltins-Arena,,Head-to-Head,
24,Wed,2027-03-03,,Union Berlin,,Augsburg,,Stadion An der Alten Försterei,,Head-to-Head,
24,Wed,2027-03-03,,Elversberg,,RB Leipzig,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
24,Wed,2027-03-03,,Hamburger SV,,Paderborn 07,,Volksparkstadion,,Head-to-Head,
24,Wed,2027-03-03,,Leverkusen,,Hoffenheim,,BayArena,,Head-to-Head,
24,Wed,2027-03-03,,Bayern Munich,,Freiburg,,Allianz Arena,,Head-to-Head,
,,,,,,,,,,,
25,Sat,2027-03-06,,Mainz 05,,Elversberg,,Mewa Arena,,Head-to-Head,
25,Sat,2027-03-06,,Dortmund,,Bayern Munich,,Signal Iduna Park,,Head-to-Head,
25,Sat,2027-03-06,,Paderborn 07,,Gladbach,,Home Deluxe Arena,,Head-to-Head,
25,Sat,2027-03-06,,Hoffenheim,,Werder Bremen,,PreZero Arena,,Head-to-Head,
25,Sat,2027-03-06,,Köln,,Union Berlin,,RheinEnergieSTADION,,Head-to-Head,
25,Sat,2027-03-06,,Freiburg,,Augsburg,,Europa-Park Stadion,,Head-to-Head,
25,Sat,2027-03-06,,RB Leipzig,,Schalke 04,,Red Bull Arena,,Head-to-Head,
